"","Sample","type","aggregation","mean_entropy","sd_entropy"
"1","S01","pi0k","pi0k.cijk",8.76442134804347,0.202908080612608
"2","S01","pijk","cij0.pijk",8.19574650745666,0.212373871320891
"3","S01","cij0","cij0.pijk",0.795130265295613,0
"4","S01","cijk","pi0k.cijk",0.149584201185398,0.0159621679487971
"5","S02","pi0k","pi0k.cijk",13.3361946761698,0.06104709678714
"6","S02","pijk","cij0.pijk",12.7060908271669,0.0535687240537955
"7","S02","cij0","cij0.pijk",0.798595901731055,0
"8","S02","cijk","pi0k.cijk",0.135857104143538,0.00814638654664362
"9","S03","pi0k","pi0k.cijk",8.1722301258412,0.0196225793587852
"10","S03","pijk","cij0.pijk",7.56995879825179,0.0195769545076131
"11","S03","cij0","cij0.pijk",0.826800104751995,0
"12","S03","cijk","pi0k.cijk",0.232613664893226,0.00577184081334308
"13","S04","pi0k","pi0k.cijk",8.81508306464232,0.0149799497819102
"14","S04","pijk","cij0.pijk",8.2735905843801,0.0148536493166902
"15","S04","cij0","cij0.pijk",0.832577012180441,0
"16","S04","cijk","pi0k.cijk",0.268676491568028,0.00387588441633632
"17","S05","pi0k","pi0k.cijk",7.25939172416731,0.0479861665990214
"18","S05","pijk","cij0.pijk",6.77734863801617,0.0440305163586416
"19","S05","cij0","cij0.pijk",0.7012483119684,0
"20","S05","cijk","pi0k.cijk",0.21649357725504,0.0156356301015607
"21","S06","pi0k","pi0k.cijk",10.754378972667,0.0844789455843136
"22","S06","pijk","cij0.pijk",10.1735524443517,0.0748699749539189
"23","S06","cij0","cij0.pijk",0.832577012180441,0
"24","S06","cijk","pi0k.cijk",0.209826235567549,0.0108316932322783
"25","S07","pi0k","pi0k.cijk",13.185429247355,0.0657134774897488
"26","S07","pijk","cij0.pijk",12.8895370227713,0.0583707453227369
"27","S07","cij0","cij0.pijk",0.47850772281401,0
"28","S07","cijk","pi0k.cijk",0.088595809464928,0.00748824786409967
"29","S08","pi0k","pi0k.cijk",12.7209383049426,0.0352721311117259
"30","S08","pijk","cij0.pijk",12.5370307028933,0.0348224709406835
"31","S08","cij0","cij0.pijk",0.335266133277641,0
"32","S08","cijk","pi0k.cijk",0.172518814564197,0.00765228826575507
"33","S09","pi0k","pi0k.cijk",13.5886727950699,0.0614288477731394
"34","S09","pijk","cij0.pijk",13.3745269073824,0.0613419655466026
"35","S09","cij0","cij0.pijk",0.326636799231147,0
"36","S09","cijk","pi0k.cijk",0.0791597899885974,0.00892295069731927
"37","S10","pi0k","pi0k.cijk",13.4672369894223,0.0793739605291875
"38","S10","pijk","cij0.pijk",12.7912067875522,0.0794816644011152
"39","S10","cij0","cij0.pijk",0.827420397261012,0
"40","S10","cijk","pi0k.cijk",0.128852007449865,0.0142900267166898
"41","S11","pi0k","pi0k.cijk",12.6434700135646,0.0186996818403788
"42","S11","pijk","cij0.pijk",12.3972222872459,0.0198302001213715
"43","S11","cij0","cij0.pijk",0.353190702494487,0
"44","S11","cijk","pi0k.cijk",0.0998909311101019,0.00516987890330395
"45","S12","pi0k","pi0k.cijk",18.1734805511661,0.0264436888011936
"46","S12","pijk","cij0.pijk",17.8346234144249,0.0256755291165288
"47","S12","cij0","cij0.pijk",0.398150601376983,0
"48","S12","cijk","pi0k.cijk",0.0500917650472297,0.00364908205615269
"49","S13","pi0k","pi0k.cijk",17.2588031877483,0.0451706953031422
"50","S13","pijk","cij0.pijk",16.9269933109806,0.0438846163808443
"51","S13","cij0","cij0.pijk",0.396557081109108,0
"52","S13","cijk","pi0k.cijk",0.0591640840981894,0.0022117382229427
"53","S14","pi0k","pi0k.cijk",18.9780859409903,0.0296851295626165
"54","S14","pijk","cij0.pijk",18.6189040915735,0.0290079148648782
"55","S14","cij0","cij0.pijk",0.403228688230379,0
"56","S14","cijk","pi0k.cijk",0.0288516385723476,0.00145748997681366
"57","S15","pi0k","pi0k.cijk",13.415018356284,0.0140585695430397
"58","S15","pijk","cij0.pijk",12.3855434326151,0.014905797428866
"59","S15","cij0","cij0.pijk",1.15788985798461,0
"60","S15","cijk","pi0k.cijk",0.122840658757927,0.00337205165900169
"61","S16","pi0k","pi0k.cijk",13.3440355472258,0.0652109237643773
"62","S16","pijk","cij0.pijk",13.01697261445,0.0595897991525392
"63","S16","cij0","cij0.pijk",0.474069472329887,0
"64","S16","cijk","pi0k.cijk",0.136720239668487,0.00872681706218605
"65","S17","pi0k","pi0k.cijk",12.8850491093767,0.0205807623403807
"66","S17","pijk","cij0.pijk",12.7639251812526,0.0203778327013378
"67","S17","cij0","cij0.pijk",0.217834634002753,0
"68","S17","cijk","pi0k.cijk",0.0769270867631253,0.00449185104898503
"69","S18","pi0k","pi0k.cijk",15.1224830481996,0.0364125605991438
"70","S18","pijk","cij0.pijk",14.7877193574707,0.0319775344982254
"71","S18","cij0","cij0.pijk",0.474069472329887,0
"72","S18","cijk","pi0k.cijk",0.136357039037742,0.0072820620358897
"73","S19","pi0k","pi0k.cijk",12.3434970794462,0.0151822671267475
"74","S19","pijk","cij0.pijk",11.68274826458,0.0129168543788366
"75","S19","cij0","cij0.pijk",0.881469510614877,0
"76","S19","cijk","pi0k.cijk",0.199975294806868,0.00409265461635487
"77","S22","pi0k","pi0k.cijk",19.8308839207965,0.0840225194594223
"78","S22","pijk","cij0.pijk",19.3786008497514,0.0778165655536094
"79","S22","cij0","cij0.pijk",0.512235840568901,0
"80","S22","cijk","pi0k.cijk",0.0385784840046298,0.00366692367903763
