Stream;"Mass
flowrate";Quartz;Feldspar;Garnet;Epidote;Amphibole;Pyroxene;Chlorite;Mica;Cassiterite;Iron Oxide;Fluorite;Carbonate;Sphalerite;Fe Suphides;Cu Sulphides;Arsenopyrite;Others
S01;810,048;12,812;8,177;4,547;1,925;13,564;3,286;8,439;7,562;0,746;31,578;1,679;1,643;2,266;0,382;0,145;0,331;0,917
S02;776,894;12,765;8,051;4,525;1,864;13,56;3,247;8,486;7,57;0,756;31,765;1,689;1,655;2,316;0,367;0,136;0,342;0,908
S03;510,785;12,395;6,256;4,958;1,859;13,163;2,727;7,121;5,482;0,851;39,325;1,272;1,112;1,74;0,383;0,16;0,365;0,831
S04;477,631;12,289;5,917;4,95;1,754;13,129;2,626;7,107;5,351;0,874;40,167;1,259;1,094;1,784;0,358;0,147;0,385;0,81
S05;33,153;13,913;11,136;5,069;3,373;13,652;4,184;7,329;7,375;0,517;27,201;1,46;1,378;1,103;0,75;0,345;0,082;1,133
S06;477,631;12,289;5,917;4,95;1,754;13,129;2,626;7,107;5,351;0,874;40,167;1,259;1,094;1,784;0,358;0,147;0,385;0,81
S07;545,89;17,21;11,241;6,312;2,597;18,578;4,548;11,465;10,47;0,921;6,713;2,245;2,288;3,196;0,358;0,173;0,468;1,218
S08;231,004;2,26;0,512;0,303;0,131;1,702;0,175;1,447;0,718;0,365;90,964;0,373;0,158;0,236;0,388;0,049;0,044;0,176
S09;517,616;18,088;11,842;6,597;2,734;19,542;4,34;12,047;11,031;0,965;6,086;2,223;2,408;0,332;0,184;0,045;0,256;1,281
S10;15,616;2,046;0,428;1,983;0,148;1,688;0,303;1,447;0,388;0,217;1,2;0,445;0,169;76,194;3,618;4,207;5,404;0,114
S11;559,938;17,201;10,971;8,461;2,903;19,858;4,473;11,396;10,133;0,907;7,24;2,093;2,273;0,343;0,224;0,048;0,224;1,254
S12;76,915;15,302;8,732;10,235;2,66;20,818;4,696;11,652;8,169;1,045;7,968;3,568;2,441;0,72;0,241;0,069;0,218;1,465
S13;64,915;15,728;8,691;10,75;2,684;20,227;4,877;11,022;8,171;1,082;8,096;3,537;2,529;0,612;0,236;0,055;0,218;1,485
S14;12;12,997;8,954;7,451;2,533;24,014;3,719;15,062;8,159;0,845;7,274;3,736;1,97;1,302;0,265;0,145;0,218;1,356
S15;6,946;0,709;0,025;1,238;0,004;0,54;0,02;0,83;0,198;37,717;44,11;0,129;0,032;0,094;1,373;0,072;12,766;0,144
S16;119,238;12,124;5,744;17,698;3,48;21,847;5,196;8,731;4,969;0,744;12,718;2,479;1,797;0,635;0,408;0,076;0,083;1,272
S17;428,162;19,078;12,746;6,028;2,827;19,857;4,401;12,441;11,859;0,275;4,263;2,04;2,471;0,262;0,123;0,037;0,015;1,28
S18;119,238;12,124;5,744;17,698;3,48;21,847;5,196;8,731;4,969;0,744;12,718;2,479;1,797;0,635;0,408;0,076;0,083;1,272
S19;5,593;2,245;0,059;6,772;0,053;1,531;0,121;1,327;0,45;7,039;72,516;0,349;0,091;0,658;2,564;0,237;3,721;0,268
S20;12,658;0;0;0;0;0;18,295;0;0;0;39,158;5,385;0;30,241;3,45;0,435;3,036;0
S21;118,788;11,467;9,811;4,81;2,056;26,128;0,78;23,524;9,374;0,769;3,528;2,466;1,811;1,695;0,072;0,303;0;1,405
S22;131,446;10,363;8,866;4,347;1,858;23,612;2,466;21,259;8,471;0,695;6,959;2,747;1,637;4,444;0,398;0,316;0,292;1,269
S23;533,232;17,618;11,508;6,461;2,659;19,019;4,221;11,737;10,719;0,943;5,943;2,171;2,342;2,554;0,284;0,167;0,407;1,247
